# x, TezTiz=5_km3, TezTiz=5_bm, TezTiz=2_km3, TezTiz=2_bm, TezTiz=1_km3, TezTiz=1_bm
0.64588, 0.296097, 0.210031, 0.164828, 0.145943, 0.058965, 0.0581
0.65741, 0.291195, 0.204424, 0.166894, 0.146688, 0.060978, 0.059806
0.6594, 0.290273, 0.203434, 0.167234, 0.146793, 0.061313, 0.060094
0.66545, 0.287255, 0.200394, 0.168222, 0.147068, 0.062314, 0.060959
0.66863, 0.285551, 0.198789, 0.168709, 0.147186, 0.062828, 0.061405
0.67732, 0.280652, 0.194405, 0.169905, 0.147427, 0.064191, 0.062587
0.68001, 0.279124, 0.193051, 0.170235, 0.147478, 0.064601, 0.06294
0.69198, 0.272377, 0.187055, 0.171477, 0.14758, 0.066366, 0.064395
0.69611, 0.270038, 0.185001, 0.171828, 0.14757, 0.066953, 0.064849
0.69756, 0.269212, 0.184283, 0.171943, 0.147561, 0.067157, 0.065002
0.7037, 0.265624, 0.181255, 0.172394, 0.14749, 0.068006, 0.065614
0.71378, 0.259424, 0.176371, 0.173027, 0.147265, 0.069359, 0.066514
0.72537, 0.252113, 0.170983, 0.173629, 0.146856, 0.070862, 0.067466
0.72649, 0.251407, 0.170485, 0.173681, 0.146809, 0.071004, 0.067557
0.73585, 0.24546, 0.166433, 0.174084, 0.146365, 0.072206, 0.068322
0.7412, 0.242059, 0.164206, 0.174288, 0.146074, 0.072924, 0.068755
0.74761, 0.237984, 0.161569, 0.174509, 0.145688, 0.073766, 0.069266
0.75235, 0.23497, 0.159611, 0.174658, 0.145371, 0.074219, 0.069637
0.7524, 0.234934, 0.159587, 0.17466, 0.145367, 0.074224, 0.069641
0.76509, 0.226891, 0.154233, 0.174954, 0.144377, 0.075176, 0.070586
0.77684, 0.219542, 0.149262, 0.174933, 0.143312, 0.076011, 0.071364
0.77786, 0.218911, 0.148834, 0.174913, 0.143215, 0.076083, 0.071426
0.78057, 0.217237, 0.147699, 0.174846, 0.142954, 0.076274, 0.071582
0.78332, 0.215553, 0.146558, 0.174759, 0.142685, 0.076467, 0.071731
0.80147, 0.204748, 0.13924, 0.173807, 0.140818, 0.077733, 0.072484
0.81137, 0.199165, 0.135528, 0.173113, 0.139733, 0.078417, 0.07275
0.81835, 0.195365, 0.133138, 0.172575, 0.13893, 0.078896, 0.07291
0.81977, 0.194608, 0.132679, 0.172461, 0.138762, 0.078993, 0.072942
0.82486, 0.191928, 0.131089, 0.172041, 0.138145, 0.07934, 0.07306
0.83464, 0.186917, 0.128097, 0.171182, 0.136866, 0.08, 0.073275
0.84945, 0.179643, 0.123342, 0.169758, 0.134683, 0.080974, 0.073502
0.85472, 0.177128, 0.121645, 0.169213, 0.133857, 0.081304, 0.073545
0.8626, 0.17345, 0.119173, 0.168363, 0.132614, 0.081726, 0.073569
0.8628, 0.173356, 0.11911, 0.16834, 0.132582, 0.081734, 0.073569
0.86388, 0.172861, 0.118782, 0.168221, 0.132412, 0.081775, 0.073569
0.87944, 0.165891, 0.114261, 0.166381, 0.129969, 0.08168, 0.073492
0.88776, 0.162318, 0.111969, 0.165312, 0.12866, 0.081672, 0.073398
0.89246, 0.160341, 0.110689, 0.164677, 0.127916, 0.081687, 0.073329
0.90385, 0.15568, 0.107615, 0.163054, 0.126097, 0.081749, 0.073118
0.90542, 0.155052, 0.107197, 0.162822, 0.125845, 0.081759, 0.073084
0.92279, 0.148276, 0.102683, 0.160113, 0.122999, 0.081885, 0.072642
0.92699, 0.146683, 0.101631, 0.159424, 0.122294, 0.081915, 0.072519
0.94544, 0.139894, 0.097216, 0.156269, 0.119136, 0.082031, 0.071917
0.95274, 0.13729, 0.09555, 0.154973, 0.117867, 0.082055, 0.071653
0.95711, 0.13575, 0.094572, 0.154185, 0.117103, 0.082058, 0.071488
0.96528, 0.132926, 0.092785, 0.152695, 0.115672, 0.082029, 0.071162
0.97969, 0.128163, 0.089771, 0.150025, 0.113161, 0.081831, 0.070519
0.98133, 0.127641, 0.089439, 0.149719, 0.112878, 0.081797, 0.07044
0.99644, 0.123013, 0.086439, 0.146884, 0.110315, 0.081392, 0.069676
0.99836, 0.122448, 0.086064, 0.146523, 0.109994, 0.081333, 0.069576
1.00055, 0.121811, 0.085637, 0.14611, 0.109629, 0.081265, 0.069461
1.01318, 0.118254, 0.083187, 0.143721, 0.107529, 0.08084, 0.068782
1.02598, 0.114828, 0.080755, 0.141286, 0.105376, 0.080355, 0.068057
1.03996, 0.111223, 0.078206, 0.138613, 0.102964, 0.079762, 0.067211
1.061, 0.105972, 0.074668, 0.134568, 0.09931, 0.07875, 0.065823
1.066, 0.104748, 0.073872, 0.133605, 0.098457, 0.078488, 0.065471
1.06988, 0.103802, 0.07326, 0.132856, 0.097803, 0.078279, 0.065193
1.07673, 0.102144, 0.07219, 0.131535, 0.096678, 0.0779, 0.064694
1.08008, 0.101335, 0.071668, 0.130888, 0.09614, 0.077708, 0.064446
1.08713, 0.099642, 0.070575, 0.129528, 0.095036, 0.077295, 0.063917
1.10589, 0.095184, 0.067712, 0.125909, 0.092181, 0.07613, 0.062465
1.11575, 0.093014, 0.066245, 0.124013, 0.090697, 0.075486, 0.06168
1.11979, 0.092168, 0.065652, 0.123239, 0.090089, 0.075217, 0.061354
1.12402, 0.091298, 0.065035, 0.122427, 0.089451, 0.074931, 0.061008
1.14755, 0.086691, 0.061734, 0.117944, 0.085905, 0.073285, 0.05921
1.14931, 0.086357, 0.061496, 0.117611, 0.08564, 0.073158, 0.05907
1.16603, 0.083227, 0.059308, 0.114461, 0.083124, 0.07193, 0.057704
1.17466, 0.081631, 0.058227, 0.112844, 0.081827, 0.07128, 0.056973
1.19674, 0.077595, 0.055576, 0.10874, 0.078521, 0.069566, 0.055029
1.22034, 0.073334, 0.05286, 0.104399, 0.075013, 0.067652, 0.052882
1.22718, 0.072111, 0.052088, 0.103151, 0.074005, 0.067082, 0.052255
1.23562, 0.070611, 0.051141, 0.101616, 0.072768, 0.066369, 0.051479
1.23874, 0.070059, 0.050793, 0.101051, 0.072314, 0.066103, 0.051193
1.25681, 0.066969, 0.048782, 0.097797, 0.069713, 0.064535, 0.04954
1.27551, 0.064327, 0.046702, 0.094476, 0.067119, 0.062874, 0.04785
1.2767, 0.064164, 0.046567, 0.094267, 0.066958, 0.062767, 0.047743
1.29426, 0.061736, 0.044779, 0.091213, 0.06468, 0.061179, 0.046174
1.30091, 0.060813, 0.044189, 0.09008, 0.063868, 0.060572, 0.045583
1.30552, 0.060174, 0.043786, 0.089307, 0.063323, 0.060151, 0.045175
1.31834, 0.058409, 0.042674, 0.087229, 0.061864, 0.058976, 0.044043
1.34106, 0.055323, 0.040714, 0.08371, 0.059324, 0.056887, 0.042049
1.34122, 0.055302, 0.0407, 0.083686, 0.059306, 0.056873, 0.042036
1.3449, 0.054808, 0.040383, 0.083115, 0.058875, 0.056534, 0.041713
1.34942, 0.054205, 0.039995, 0.082413, 0.058334, 0.056119, 0.041319
1.39593, 0.048195, 0.036029, 0.075333, 0.052434, 0.051874, 0.037237
1.40799, 0.046701, 0.035011, 0.073566, 0.050958, 0.05079, 0.03616
1.41273, 0.046123, 0.034612, 0.072881, 0.050393, 0.050366, 0.035735
1.42294, 0.044893, 0.033755, 0.071424, 0.049203, 0.049461, 0.034815
1.45447, 0.041252, 0.031142, 0.067049, 0.045712, 0.046729, 0.031983
1.46501, 0.040094, 0.030285, 0.065619, 0.044589, 0.045833, 0.031047
1.46646, 0.039938, 0.030168, 0.065424, 0.044436, 0.045711, 0.03092
1.49502, 0.036953, 0.027913, 0.061619, 0.041459, 0.043308, 0.028444
1.50953, 0.035506, 0.026809, 0.059717, 0.039971, 0.042087, 0.027228
1.5261, 0.033904, 0.025583, 0.057567, 0.038286, 0.040683, 0.025875
1.55279, 0.031414, 0.02363, 0.05416, 0.035605, 0.03839, 0.023758
1.56214, 0.030563, 0.022906, 0.052985, 0.034676, 0.037582, 0.023029
1.573, 0.029586, 0.022038, 0.051638, 0.033605, 0.036642, 0.022188
1.58869, 0.028197, 0.020789, 0.049736, 0.032078, 0.035288, 0.020979
1.59105, 0.02799, 0.020606, 0.049457, 0.031852, 0.035085, 0.020798
1.61505, 0.025916, 0.018815, 0.046782, 0.029596, 0.033034, 0.018955
1.63183, 0.024498, 0.017636, 0.044994, 0.02808, 0.031623, 0.01767
1.63526, 0.024211, 0.0174, 0.044621, 0.027775, 0.031338, 0.017408
1.6454, 0.023368, 0.016707, 0.043506, 0.02688, 0.030501, 0.016633
1.66904, 0.021431, 0.01512, 0.040891, 0.024815, 0.028587, 0.014831
1.69261, 0.019536, 0.013564, 0.03834, 0.022788, 0.026727, 0.013045
1.6987, 0.019051, 0.013165, 0.037706, 0.022269, 0.026252, 0.012585
1.7152, 0.01775, 0.012089, 0.03608, 0.020878, 0.024978, 0.01135
1.72905, 0.016672, 0.011191, 0.034785, 0.01973, 0.023921, 0.010325
1.741, 0.015752, 0.010427, 0.033668, 0.018756, 0.023015, 0.009443
1.74516, 0.015433, 0.010164, 0.033274, 0.01842, 0.022701, 0.009133
1.74822, 0.015201, 0.009974, 0.032985, 0.018175, 0.022471, 0.008903
1.77672, 0.013067, 0.008265, 0.030272, 0.015925, 0.020337, 0.006722
1.78045, 0.012793, 0.008047, 0.029919, 0.015634, 0.02006, 0.006441
1.7921, 0.011949, 0.00737, 0.028821, 0.014731, 0.019197, 0.005576
1.8007, 0.011335, 0.006872, 0.028018, 0.014066, 0.018565, 0.004955
1.82315, 0.009768, 0.005574, 0.025952, 0.012323, 0.016927, 0.00338
1.84687, 0.008169, 0.004203, 0.023826, 0.010509, 0.015222, 0.001753
1.84759, 0.008121, 0.004161, 0.023763, 0.010455, 0.01517, 0.001703
